Module,Renderer,ApiVersion,Width,Height,Fullscreen,AntiAliasing,AvgFPS,Duration,MaxGpuTemp,Score
PixMark JuliaFP32,GeForce GTX 680/PCIe/SSE2,4.3.0 NVIDIA 319.32,1280,720,NO,Off,866,5000,0,4383
PixMark JuliaFP32,GeForce GTX 680/PCIe/SSE2,4.3.0 NVIDIA 319.32,1024,640,NO,Off,1164,60000,0,69960
PixMark JuliaFP64,GeForce GTX 680/PCIe/SSE2,4.3.0 NVIDIA 319.32,1024,640,NO,Off,118,60000,0,7116
TessMark X16,GeForce GTX 680/PCIe/SSE2,4.3.0 NVIDIA 319.32,1280,720,NO,Off,1232,60000,0,73873
PixMark JuliaFP32,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1280,720,NO,Off,712,60000,0,42816
PixMark JuliaFP64,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1280,720,NO,Off,84,60000,0,5047
TessMark X16,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1280,720,NO,Off,966,60000,0,57971
PixMark JuliaFP32,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1280,720,NO,Off,715,60000,0,42946
PixMark JuliaFP32,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1920,1080,YES,Off,347,60000,0,20879
PixMark JuliaFP64,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1280,720,NO,Off,83,60000,0,5037
PixMark JuliaFP64,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1920,1080,YES,Off,38,60000,0,2307
FurMark,ATI RV560,2.1 Mesa 19.3.0-rc5 - kisak-mesa PPA,1920,1080,YES,Off,2,60000,0,126
FurMark,Mesa Intel(R) HD Graphics 500 (APL 2),4.6 (Core Profile) Mesa 20.0.0-devel (git-d3fa18a 2020-01-30 bionic-oibaf-ppa),1920,1080,YES,Off,2,60000,0,153
PixMark Piano,Radeon RX550/550 Series (polaris12, LLVM 12.0.1, DRM 3.42, 5.14.15-xanmod1-cacule),4.6 (Core Profile) Mesa 22.0.0-devel (git-ed5d798 2021-10-29 focal-oibaf-ppa),800,600,NO,Off,23,60000,0,1397
FurMark,Radeon RX550/550 Series (polaris12, LLVM 12.0.1, DRM 3.42, 5.14.15-xanmod1-cacule),4.6 (Core Profile) Mesa 22.0.0-devel (git-ed5d798 2021-10-29 focal-oibaf-ppa),640,480,NO,Off,90,60000,0,5403
FurMark,Radeon RX550/550 Series (polaris12, LLVM 12.0.1, DRM 3.42, 5.14.15-xanmod1-cacule),4.6 (Core Profile) Mesa 22.0.0-devel (git-ed5d798 2021-10-29 focal-oibaf-ppa),640,480,NO,Off,90,60000,0,5409
